Breed Name,Height,Weight,Life Span,Breed Group,About the breed,URL,Image URL
Black and Tan Coonhound,23–27 in,48–85 lb,10–12 yr,Hound,"Although the Black and Tan Coonhound is gentle and trusting, it can be stubborn at times, especially when interested in a certain activity. With the proper training, this dog makes an excellent family pet.",https://www.wisdompanel.com/en-us/dog-breeds/coonhound-black-and-tan/,https://breed-assets.wisdompanel.com/dog/coonhound-black-and-tan/Black_and_Tan_Coonhound__Color_Small_File.png
Treeing Walker Coonhound,20–27 in,48–76 lb,10–13 yr,Hound,"Best known for its excellent wild raccoon hunting skills, the Treeing Walker Coonhound is a fast and active breed. Named for its ability to chase its prey up into trees, Treeing Walker Coonhounds are also smart and social, making it a good candidate for a family pet—as long as it’s well-exercised.",https://www.wisdompanel.com/en-us/dog-breeds/treeing-walker-coonhound/,https://breed-assets.wisdompanel.com/dog/treeing-walker-coonhound/Treeing_Walker_Coonhound_Color_Small_File.png
English Foxhound,23–27 in,32–67 lb,10–13 yr,Hound,"The English Foxhound is an intelligent and energetic breed whose active nature demands plenty of exercise to remain healthy and happy. Since these dogs are pack hounds, they enjoy the company of both people and other animals, although they tend to do best in a household where the pet parent can manage a firm handling.",https://www.wisdompanel.com/en-us/dog-breeds/english-foxhound/,https://breed-assets.wisdompanel.com/dog/english-foxhound/English_Fox_Hound_Color_Small_File.png
Redbone Coonhound,21–27 in,49–90 lb,12–15 yr,Hound,"The Redbone Coonhound is mellow and kind. As a hunter, they are courageous and tenacious. This active breed enjoys long bouts of exercise, followed by plenty of rest and recuperation with their people.",https://www.wisdompanel.com/en-us/dog-breeds/redbone-coonhound/,https://breed-assets.wisdompanel.com/dog/redbone-coonhound/Redbone_Coonhound_Color_Small_File.png
Borzoi,27–29 in,59–111 lb,10–14 yr,Sighthound,"Covered in a long, lavish coat, this big sighthound can reach over 100 pounds. With its lithe frame, the Borzoi, or Russian Wolfhound, is clearly a derivative of the Greyhound breed. These dogs are unique in their personality and their stoic, aloof behavior could almost be considered cat-like.",https://www.wisdompanel.com/en-us/dog-breeds/borzoi/,https://breed-assets.wisdompanel.com/dog/borzoi/Borzoi_Color_Small_File.png
Irish Wolfhound,28–31 in,85–156 lb,6–8 yr,Sighthound,"A large, powerful sighthound, the Irish Wolfhound is a superb athlete. Despite its size, this breed is quite calm and loving, considering its potential to stand three feet tall and up to 180 lbs. Each Irish Wolfhound has an individual personality, but in general they provide rewarding companionship when cared for properly.",https://www.wisdompanel.com/en-us/dog-breeds/irish-wolfhound/,https://breed-assets.wisdompanel.com/dog/irish-wolfhound/Irish_Wolfhound_Color_Small_File.png
Italian Greyhound,12–15 in,5–14 lb,14–15 yr,Sighthound,"Smaller, slender versions of their larger relative, the Greyhound, these sleek dogs exude grace. They adore their human companions and prefer a lap to curl up in and perfectly capture the curved lines of all sighthounds.",https://www.wisdompanel.com/en-us/dog-breeds/italian-greyhound/,https://breed-assets.wisdompanel.com/dog/italian-greyhound/Italian_Greyhound_Color_Small_File.png
Whippet,17–18 in,26–45 lb,12–15 yr,Sighthound,"Intelligent, quiet and friendly, Whippets make great companions as long as they get plenty of exercise. They are fairly low-maintenance, but require attention around cats and wildlife, since they have a tendency to chase after them.",https://www.wisdompanel.com/en-us/dog-breeds/whippet/,https://breed-assets.wisdompanel.com/dog/whippet/Whippet_Color_Small_File.png
Ibizan Hound,22–29 in,33–64 lb,11–14 yr,Sighthound,"The Ibizan Hound’s gentle and calm demeanor is often compared to that of a deer. It is an ancient breed, and they are often found depicted in artifacts dating back to when the pharaohs ruled Egypt. Along with their sleek and athletic build, a rosy colored nose and large, pointed ears are dead giveaways for the breed, as well.",https://www.wisdompanel.com/en-us/dog-breeds/ibizan-hound/,https://breed-assets.wisdompanel.com/dog/ibizan-hound/Ibizan_Hound_Color_Small_File.png
Norwegian Elkhound,18–2 in,35–70 lb,12–15 yr,Companion,"The Norwegian Elkhound is outgoing and dependable. Their eagerness to please, combined with their sensitive, trusting natures, helped this hardy breed evolve from a reliable working dog into a popular pet.",https://www.wisdompanel.com/en-us/dog-breeds/norwegian-elkhound/,https://breed-assets.wisdompanel.com/dog/norwegian-elkhound/Norwegian_Elkhound_Color_Small_File.png
Otterhound,24–27 in,58–118 lb,10–13 yr,Hound,"Given their shaggy appearance and friendly, comical personality, Otterhounds make adorable and fun family companions. Their unique characteristics—like webbed feet and a rough double coat that’s water repellent—make them excellent hunters on both land and water. A versatile and adaptable breed, there’s a lot to love about the Otterhound.",https://www.wisdompanel.com/en-us/dog-breeds/otterhound/,https://breed-assets.wisdompanel.com/dog/otterhound/Otterhound_Color_Small_File.png
Saluki,23–28 in,40–67 lb,10–17 yr,Middle Eastern and African,"The beautiful and exotic Saluki has an adoring fan base and mysterious beginnings. Though they may not be the best fit for every household, Salukis can be loving and warm companion pets with the proper training.",https://www.wisdompanel.com/en-us/dog-breeds/saluki/,https://breed-assets.wisdompanel.com/dog/saluki/Saluki_Color_Small_File.png
Scottish Deerhound,28–30 in,62–121 lb,7–11 yr,Sighthound,"One of the tallest dog breeds, the Scottish Deerhound is also known as the “Royal Dog of Scotland.” Bred to hunt the giant wild red deer of Europe, the breed is as majestic as it is ancient.",https://www.wisdompanel.com/en-us/dog-breeds/scottish-deerhound/,https://breed-assets.wisdompanel.com/dog/scottish-deerhound/Scottish_Deerhound_Color_Small_File.png
Weimaraner,22–27 in,54–97 lb,10–13 yr,Sporting,"The Weimaraner is an energetic, alert, and powerful breed. Large and loyal, these dogs are happy to work or play all day—as long as they have their favorite human by their side.",https://www.wisdompanel.com/en-us/dog-breeds/weimaraner/,https://breed-assets.wisdompanel.com/dog/weimaraner/Weimaraner_Color_copy.png
Staffordshire Bull Terrier,13–16 in,23–46 lb,12–15 yr,Guard,"The Staffordshire Bull Terrier is a loving, affectionate breed. Though protective of their family and, these active dogs are usually very friendly toward children and strangers. Staffordshire Bull Terriers have playful, curious natures and love spending time with their people.",https://www.wisdompanel.com/en-us/dog-breeds/staffordshire-bull-terrier/,https://breed-assets.wisdompanel.com/dog/staffordshire-bull-terrier/Staffordshire_Bull_Terrier_Color_Small_File.png
American Staffordshire Terrier,17–19 in,38–68 lb,12–16 yr,Guard,"Though known as a courageous and powerful breed, the American Staffordshire Terrier is also affectionate and loyal. Loving toward family members and excellent with children, these pups make calm, fun-loving household companions when responsibly bred and properly cared for.",https://www.wisdompanel.com/en-us/dog-breeds/american-staffordshire-terrier/,https://breed-assets.wisdompanel.com/dog/american-staffordshire-terrier/American_Staffordshire_Terrier_Color_Small_File.png
Bedlington Terrier,15–16 in,16–30 lb,11–16 yr,Terrier,"Bedlington Terriers are fantastic family pets; they love kids and are ready, willing, and able to play with them, but they also love to relax and curl up with you at the end of a long day.

They are a highly social breed, and their intelligent and extroverted personality makes them just another member of the family.",https://www.wisdompanel.com/en-us/dog-breeds/bedlington-terrier/,https://breed-assets.wisdompanel.com/dog/bedlington-terrier/Bedlington_Terrier_Color_Small_File.png
Border Terrier,11–12 in,9–22 lb,12–15 yr,Terrier,"Border Terriers are energetic, intelligent, and alert dogs. Their friendly and affectionate nature makes them a welcome addition to any household.",https://www.wisdompanel.com/en-us/dog-breeds/border-terrier/,https://breed-assets.wisdompanel.com/dog/border-terrier/Border_Terrier_Color_Small_File.png
Kerry Blue Terrier,18–19 in,25–50 lb,12–15 yr,Terrier,"Kerry Blue Terriers are spirited, gentle, and active. These adaptable and versatile farm dogs are as happy to hang out at home as they are to put in a hard day's work. Loyal and very protective of family, the Kerry Blue Terrier makes a wonderful companion and pet.",https://www.wisdompanel.com/en-us/dog-breeds/kerry-blue-terrier/,https://breed-assets.wisdompanel.com/dog/kerry-blue-terrier/Kerry_Blue_Terrier_Color_Small_File.png
Irish Terrier,16–18 in,19–38 lb,13–15 yr,Terrier,"Irish Terriers are charming, loyal, and affectionate dogs that like to please. They're known for their fiery and boisterous personalities and determination as working dogs. At home, Irish Terriers make sensitive family companions.",https://www.wisdompanel.com/en-us/dog-breeds/irish-terrier/,https://breed-assets.wisdompanel.com/dog/irish-terrier/Irish_Terrier_Color_Small_File.png
Norfolk Terrier,10–11 in,8–17 lb,12–16 yr,Terrier,"The Norfolk Terrier is an intelligent, playful breed. Loving and loyal to family and friendly to all—including other pets and children—Norfolk Terriers make superb little companions.",https://www.wisdompanel.com/en-us/dog-breeds/norfolk-terrier/,https://breed-assets.wisdompanel.com/dog/norfolk-terrier/Norfolk_Terrier_Color_Small_File_copy.png
Norwich Terrier,10–11 in,8–17 lb,12–15 yr,Terrier,"The Norwich Terrier is an intelligent, playful, and loyal dog. They tend to be friendly with everyone they meet. Though it may be one of the smallest working terrier breeds, the Norwich Terrier is a lively, sociable dog.",https://www.wisdompanel.com/en-us/dog-breeds/norwich-terrier/,https://breed-assets.wisdompanel.com/dog/norwich-terrier/Norwich_Terrier_Color_Small_File.png
Yorkshire Terrier,7–8 in,2–10 lb,11–15 yr,Terrier,"Yorkshire Terriers are very alert, active, and lively. This breed loves to play and doesn't hesitate to protect family and territory—even against much larger dogs. Though Yorkies need lots of attention and companionship, they make excellent pets.",https://www.wisdompanel.com/en-us/dog-breeds/yorkshire-terrier/,https://breed-assets.wisdompanel.com/dog/yorkshire-terrier/Yorkshire_Terrier_Color.png
Wire Fox Terrier,15–16 in,12–28 lb,12–15 yr,Terrier,"Good-natured, playful, and feisty, the Wire Fox Terrier makes a great sidekick and companion. They are loving and affectionate with family and excellent with older children. Alert and fearless, Wire Fox Terriers also love chasing rats and foxes (hence the name).",https://www.wisdompanel.com/en-us/dog-breeds/fox-terrier-wire/,https://breed-assets.wisdompanel.com/dog/fox-terrier-wire/Wire_Fox_Terrier_Color_Small_File.png
Lakeland Terrier,14–15 in,12–24 lb,12–15 yr,Terrier,"Lakeland Terriers are intelligent and inquisitive dogs. They love to explore and be with their families—whether on an outdoor adventure or hanging out at home. This kid-friendly breed is gentle, quiet, and finds human companionship irresistible.",https://www.wisdompanel.com/en-us/dog-breeds/lakeland-terrier/,https://breed-assets.wisdompanel.com/dog/lakeland-terrier/Lakeland_Terrier_Color_Small_File.png
Sealyham Terrier,11–12 in,13–29 lb,12–15 yr,Terrier,"Sealyham Terriers are high-spirited, affectionate, and loyal to those they love. Though brave, alert, and independent, they're friendly toward other pets and children. As a result, the Sealyham Terrier makes a wonderful family dog.",https://www.wisdompanel.com/en-us/dog-breeds/sealyham-terrier/,https://breed-assets.wisdompanel.com/dog/sealyham-terrier/Sealyham_Terrier_Color_Small_File.png
Airedale Terrier,22–24 in,36–67 lb,10–14 yr,Terrier,"The Airedale is the largest terrier breed and is sometimes known as “the King of Terriers.” This jolly dog is friendly, and they usually socialize well with people and other dogs. They aren’t known to be mischievous, and instead are quite adaptable to any living situation.",https://www.wisdompanel.com/en-us/dog-breeds/airedale-terrier/,https://breed-assets.wisdompanel.com/dog/airedale-terrier/Airedale_Terrier_Color.png
Cairn Terrier,11–12 in,11–23 lb,13–15 yr,Terrier,"The Cairn Terrier is a happy, active, and courageous breed. Craving human interaction, Cairn Terriers have great personalities and are well-suited for children. These hardy dogs like having places to explore and dig.",https://www.wisdompanel.com/en-us/dog-breeds/cairn-terrier/,https://breed-assets.wisdompanel.com/dog/cairn-terrier/Cairn_Terrier_Color_Small_File.png
Australian Terrier,9–11 in,8–17 lb,11–15 yr,Terrier,"The Australian Terrier makes a delightful family pet. Highly loyal, they’re dedicated to—and demand a lot of attention from—their people.",https://www.wisdompanel.com/en-us/dog-breeds/australian-terrier/,https://breed-assets.wisdompanel.com/dog/australian-terrier/Australian_Terrier_Color_Small_File.png
Dandie Dinmont Terrier,8–11 in,16–30 lb,12–15 yr,Terrier,"The Dandie Dinmont Terrier is a fun-loving and lively breed—and the only one to be named after a fictional character. Though small in size, the dog boasts a big personality. Dandie Dinmonts enjoy the company of kids, making them wonderful family pets.",https://www.wisdompanel.com/en-us/dog-breeds/dandie-dinmont-terrier/,https://breed-assets.wisdompanel.com/dog/dandie-dinmont-terrier/Dandie_Dinmont_Terrier_Color_Small_File.png
Boston Terrier,14–16 in,15–29 lb,11–13 yr,Guard,"Boston Terriers are lively and clever dogs that make excellent pets and devoted companions. They are gentle and friendly to children, other pets, and strangers.",https://www.wisdompanel.com/en-us/dog-breeds/boston-terrier/,https://breed-assets.wisdompanel.com/dog/boston-terrier/Boston_Terrier_Color_Small_File.png
Miniature Schnauzer,13–14 in,9–19 lb,12–15 yr,Terrier,"The Miniature Schnauzer is an intelligent, active, and eager-to-please breed. These devoted, loyal, and affectionate pups are the ultimate trusty companions. In addition to being excellent family pets, Miniature Schnauzers make exceptional, alert watchdogs.",https://www.wisdompanel.com/en-us/dog-breeds/schnauzer-miniature/,https://breed-assets.wisdompanel.com/dog/schnauzer-miniature/Miniature_Schnauzer__Color_Small_File.png
Giant Schnauzer,23–27 in,59–97 lb,12–15 yr,Terrier,"The Giant Schnauzer is responsive, alert, and independent. This larger, more powerful version of the Standard Schnauzer is highly intelligent and loyal to its people. Giant Schnauzers make ideal working dogs and family companions.",https://www.wisdompanel.com/en-us/dog-breeds/schnauzer-giant/,https://breed-assets.wisdompanel.com/dog/schnauzer-giant/Giant_Schnauzer__Color_Small_File.png
Standard Schnauzer,18–19 in,26–46 lb,13–16 yr,Terrier,"The Standard Schnauzer is a trustworthy, intelligent, and high-spirited breed. These active, alert dogs require lots of attention and companionship. Schnauzers enjoy participating in family activities and are easy to travel with—making them wonderful pets. They also serve well in police work, herding livestock, therapy, and search and rescue work.",https://www.wisdompanel.com/en-us/dog-breeds/schnauzer-standard/,https://breed-assets.wisdompanel.com/dog/schnauzer-standard/Standard_Schnauzer__Color_Small_File.png
Scottish Terrier,10–11 in,16–30 lb,10–12 yr,Terrier,"Scottish Terriers are intelligent, alert, and active dogs. They're also incredibly loyal and affectionate to their family. This breed's high-spirited personality—along with an almost human-like charm—makes it an excellent companion.",https://www.wisdompanel.com/en-us/dog-breeds/scottish-terrier/,https://breed-assets.wisdompanel.com/dog/scottish-terrier/Scottish_Terrier_Color.png
Tibetan Terrier,14–16 in,18–33 lb,12–16 yr,Companion,"The Tibetan Terrier is known for being a sensitive, affectionate breed. With a long history as watchdogs, Tibetan Terriers are just as likely to monitor their surroundings as they are to snuggle with their families.",https://www.wisdompanel.com/en-us/dog-breeds/tibetan-terrier/,https://breed-assets.wisdompanel.com/dog/tibetan-terrier/Tibetan_Terrier_Color_Small_File.png
Silky Terrier,9–10 in,6–15 lb,12–15 yr,Terrier,"As gorgeous as its name implies, the Silky Terrier is an alert, intelligent, energetic, and spunky dog. Protective of their people, Silkies make good watchdogs. But with affectionate and friendly personalities, they're ultimately big softies.",https://www.wisdompanel.com/en-us/dog-breeds/silky-terrier/,https://breed-assets.wisdompanel.com/dog/silky-terrier/Silky_Terrier_Color_Small_File.png
Soft Coated Wheaten Terrier,18–19 in,24–51 lb,12–15 yr,Terrier,"Praised by farmers as a general-purpose dog—and a gentle, loving companion—the Soft Coated Wheaten Terrier is one of the top working terriers in Ireland. Smart and alert, Wheatens are also excellent watchdogs and make ideal pets for families with kids.",https://www.wisdompanel.com/en-us/dog-breeds/soft-coated-wheaten-terrier/,https://breed-assets.wisdompanel.com/dog/soft-coated-wheaten-terrier/Soft_Coated_Wheaten_Terrier_Color_Small_File.png
West Highland White Terrier,10–12 in,11–23 lb,11–15 yr,Terrier,"West Highland White Terriers are alert, intelligent, and independent dogs that love outdoor activities. This breed bonds with its family and makes an excellent watchdog.",https://www.wisdompanel.com/en-us/dog-breeds/west-highland-white-terrier/,https://breed-assets.wisdompanel.com/dog/west-highland-white-terrier/West_Highland_Terrier_Color_Small_File_copy.png
Lhasa Apso,10–11 in,9–19 lb,12–15 yr,Companion,"Lhasa Apsos are smart, sensitive, and outgoing dogs. Their fearless personalities and keen sense of hearing make these small-but-confident dogs popular guardians. They will alert their owners at the first signs of trouble (or the mailman).",https://www.wisdompanel.com/en-us/dog-breeds/lhasa-apso/,https://breed-assets.wisdompanel.com/dog/lhasa-apso/Lhasa_Apso_Color_Small_File.png
Flat-Coated Retriever,22–23 in,51–87 lb,8–13 yr,Sporting,"The Flat-Coated Retriever is a very intelligent breed. Good-natured, energetic, active, and eager to please, these retrievers make versatile working dogs and loving family members. Flat-Coats display their cheerful, outgoing attitude through their happily wagging tails.",https://www.wisdompanel.com/en-us/dog-breeds/flat-coated-retriever/,https://breed-assets.wisdompanel.com/dog/flat-coated-retriever/Flat_Coated_Retriever_Color_Small_File.png
Curly-Coated Retriever,25–27 in,58–90 lb,10–12 yr,Sporting,"The Curly-Coated Retriever is a highly intelligent, alert, and friendly dog—as well as a devoted family member. This breed tends to be independent and less needy compared to others in the retriever family.",https://www.wisdompanel.com/en-us/dog-breeds/curly-coated-retriever/,https://breed-assets.wisdompanel.com/dog/curly-coated-retriever/Curly_Coated_Retriever_Color_Small_File.png
Golden Retriever,20–24 in,46–80 lb,10–12 yr,Sporting,"The Golden Retriever is an intelligent breed that excels in a wide range of duties and activities. In fact, it's one of the most versatile dog breeds in the world. Golden Retrievers are active, loving, and eager to please. They also have a very gentle temperament. Given all this, it's no surprise that they're among the most popular dogs in the U.S.",https://www.wisdompanel.com/en-us/dog-breeds/golden-retriever/,https://breed-assets.wisdompanel.com/dog/golden-retriever/Golden_Retriever_Color_Small_File.png
Labrador Retriever,21–24 in,49–77 lb,10–12 yr,Sporting,"Labrador Retrievers are well-known for their outgoing, family-friendly personalities. Happy to work hard or play hard, these adaptable, good-natured dogs have earned their place as one of the world's most popular breeds.",https://www.wisdompanel.com/en-us/dog-breeds/labrador-retriever/,https://breed-assets.wisdompanel.com/dog/labrador-retriever/Labrador_Retriever_Color_Small_File.png
Chesapeake Bay Retriever,21–26 in,48–87 lb,10–13 yr,Sporting,"The Chesapeake Bay Retriever is an intelligent, cheerful breed. They are alert, energetic, and loyal—though they may be more independent-minded and aloof than other retrievers.",https://www.wisdompanel.com/en-us/dog-breeds/chesapeake-bay-retriever/,https://breed-assets.wisdompanel.com/dog/chesapeake-bay-retriever/Chesapeake_Bay_Retriever_Color_Small_File.png
German Shorthaired Pointer,21–25 in,42–79 lb,10–14 yr,Sporting,"The German Shorthaired Pointer is an intelligent, good-natured, friendly breed. It makes an enthusiastic, versatile hunting companion as well as a happy, loyal pet for active families.",https://www.wisdompanel.com/en-us/dog-breeds/german-shorthaired-pointer/,https://breed-assets.wisdompanel.com/dog/german-shorthaired-pointer/German_Shorthair_Pointer_Color_Small_File.png
Vizsla,21–25 in,46–73 lb,12–15 yr,Sporting,"Both a pointer and a retriever, the Vizsla is an energetic, alert, and intelligent breed. It's easy to see why this sensitive, hard-working redhead has been a favorite hunting dog for centuries.",https://www.wisdompanel.com/en-us/dog-breeds/vizsla/,https://breed-assets.wisdompanel.com/dog/vizsla/Vizsla_Color_Small_File.png
English Setter,23–27 in,49–77 lb,11–13 yr,Sporting,"The English Setter is a gentle, intelligent breed that loves outdoor activities. Equally happy hunting in the fields or curling up on the couch, the sweet-tempered English Setter has something for everyone.",https://www.wisdompanel.com/en-us/dog-breeds/english-setter/,https://breed-assets.wisdompanel.com/dog/english-setter/English_Setter_Color_Small_File.png
Irish Setter,25–26 in,48–88 lb,12–15 yr,Sporting,"Irish Setters are intelligent, gentle, and happy dogs. They make rugged hunting partners and affectionate family members—fitting perfectly into any active, outdoorsy lifestyle. Just be prepared to draw some attention because the Irish Setter's stunning red coat will turn heads wherever it goes.",https://www.wisdompanel.com/en-us/dog-breeds/irish-setter/,https://breed-assets.wisdompanel.com/dog/irish-setter/Irish_Setter_Color_Small_File.png
Gordon Setter,25–26 in,44–83 lb,12–13 yr,Sporting,"Gordon Setters are active, alert, and intelligent. Their stamina and a keen sense of smell make them excellent bird dogs. But when not showing off their hunting skills, Gorden Setters are than happy to curl up by the fire with their families.",https://www.wisdompanel.com/en-us/dog-breeds/gordon-setter/,https://breed-assets.wisdompanel.com/dog/gordon-setter/Gordon_Setter_Color_Small_File.png
Brittany,18–19 in,27–50 lb,12–14 yr,Sporting,"The Brittany is an intelligent, lively, gentle, and affectionate breed skilled in hunting and retrieving. Thanks to the breed's good temperament and desire to please, Brittany's make great pets for people looking for an active, energetic dog.",https://www.wisdompanel.com/en-us/dog-breeds/brittany/,https://breed-assets.wisdompanel.com/dog/brittany/Brittany_Color_Small_File.png
Clumber Spaniel,16–18 in,53–94 lb,10–12 yr,Sporting,"The Clumber Spaniel is a gentle and intelligent breed that loves to please. Bred to flush birds from dense underbrush, Clumber Spaniels are determined, purposeful workers. When not serving as faithful hunting companions, they are mellow, affectionate, playful, and even humorous pets.",https://www.wisdompanel.com/en-us/dog-breeds/clumber-spaniel/,https://breed-assets.wisdompanel.com/dog/clumber-spaniel/Clumber_Spaniel_Color_Small_File.png
English Springer Spaniel,19–21 in,32–68 lb,12–14 yr,Sporting,"English Springer Spaniels are intelligent, playful, and energetic. Their calm nature—combined with their athletic abilities and stamina—makes them excellent hunters and frequent participants in field trials and obedience sports.",https://www.wisdompanel.com/en-us/dog-breeds/english-springer-spaniel/,https://breed-assets.wisdompanel.com/dog/english-springer-spaniel/English_Springer_Spaniel_Color_Small_File.png
Welsh Springer Spaniel,19–21 in,32–56 lb,12–15 yr,Sporting,"The Welsh Springer Spaniel is an intelligent, energetic, and playful breed. Though these dogs were bred for their versatile hunting skills, it's their loyal, affectionate nature and stunning good looks that have captured hearts for centuries.",https://www.wisdompanel.com/en-us/dog-breeds/welsh-springer-spaniel/,https://breed-assets.wisdompanel.com/dog/welsh-springer-spaniel/Welsh_Springer_Spaniel_Color_Small_File.png
American Cocker Spaniel,14–15 in,19–36 lb,10–14 yr,Sporting,"The American Cocker Spaniel is an intelligent, happy, and playful dog. Originally bred for hunting, American Cocker Spaniels have become popular family pets—in part because of their convenient size. They’re big enough to participate in busy family life activities, yet small enough to pack up and take on outings.",https://www.wisdompanel.com/en-us/dog-breeds/cocker-spaniel/,https://breed-assets.wisdompanel.com/dog/cocker-spaniel/Cocker_Spaniel_Color_Small_file.png
Sussex Spaniel,15–16 in,32–55 lb,12–15 yr,Sporting,"Sussex Spaniels are high-spirited, intelligent, and friendly. Don't let their characteristic frowns fool you. These long, low pups are happy hunters and good-natured family pets.",https://www.wisdompanel.com/en-us/dog-breeds/sussex-spaniel/,https://breed-assets.wisdompanel.com/dog/sussex-spaniel/Sussex_Spaniel_Color_Small_File.png
